Age,Workclass,Education,Education-num,Marital-status,Occupation,Relationship,Race,Sex,Native-Country,Income
26, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, Germany, >50K
28, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, Germany, >50K
31, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, Germany, >50K
50, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, Germany, >50K
37, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, Germany, >50K
40, Private, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male, Guatemala, >50K
54, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Black, Male, Haiti, >50K
47, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, Iran, >50K
40, Self-emp-not-inc, Some-college,10, Divorced, Exec-managerial, Other-relative, White, Male, Iran, >50K
48, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female, Ireland, >50K
37, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male, Jamaica, >50K
29, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male, Jamaica, >50K
34, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Black, Male, Jamaica, >50K
43, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, Black, Male, Jamaica, >50K
35, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male, Jamaica, >50K
31, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, Jamaica, >50K
37, Private, Some-college,10, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, Japan, >50K
44, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Other, Female, Mexico, >50K
45, Local-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, Mexico, >50K
41, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, Mexico, >50K
33, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male, Peru, >50K
50, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male, Philippines, >50K
38, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, Philippines, >50K
27, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, Philippines, >50K
37, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, Philippines, >50K
39, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, Philippines, >50K
53, Federal-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female, Philippines, >50K
44, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, Philippines, >50K
55, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male, Poland, >50K
51, Self-emp-not-inc, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male, Puerto-Rico, >50K
39, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female, Puerto-Rico, >50K
45, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, Puerto-Rico, >50K
47, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male, Scotland, >50K
30, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, South, >50K
37, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, Thailand, >50K
78, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
30, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female, United-States, >50K
73, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
55, Private, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
44, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
51, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
65, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
55, Self-emp-not-inc, Some-college,10, Divorced, Tech-support, Not-in-family, White, Female, United-States, >50K
34, Private, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
36, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
39, Self-emp-not-inc, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, >50K
51, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
39, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Other-service, Wife, White, Female, United-States, >50K
43, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
59, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Other-relative, White, Female, United-States, >50K
60, Private, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
40, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
63, Federal-gov, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
44, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
54, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
58, Self-emp-inc, Some-college,10, Widowed, Sales, Not-in-family, White, Female, United-States, >50K
52, Private, Some-college,10, Divorced, Sales, Other-relative, White, Female, United-States, >50K
31, Self-emp-inc, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
30, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
51, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
59, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
70, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
36, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
74, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
42, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
66, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
55, Private, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
57, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female, United-States, >50K
72, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
30, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
42, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
28, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
24, Self-emp-not-inc, Some-college,10, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male, United-States, >50K
48, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
41, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
32, Private, Some-college,10, Married-civ-spouse, Tech-support, Wife, White, Female, United-States, >50K
60, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Other, Male, United-States, >50K
22, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male, United-States, >50K
50, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Other-relative, White, Female, United-States, >50K
52, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
38, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
40, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
47, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
36, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
57, State-gov, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Black, Male, United-States, >50K
37, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
31, State-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
75, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
74, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
63, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
28, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male, United-States, >50K
48, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
65, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
84, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
41, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
40, Self-emp-not-inc, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male, United-States, >50K
71, Private, Some-college,10, Widowed, Sales, Not-in-family, White, Male, United-States, >50K
29, Private, Some-college,10, Divorced, Craft-repair, Unmarried, White, Male, United-States, >50K
50, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
45, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
61, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
41, Private, Some-college,10, Divorced, Other-service, Not-in-family, White, Female, United-States, >50K
38, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
53, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
30, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
59, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
25, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, >50K
42, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States, >50K
52, Private, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, >50K
43, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Black, Female, United-States, >50K
48, Private, Some-college,10, Never-married, Craft-repair, Unmarried, White, Female, United-States, >50K
62, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
38, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
44, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, >50K
32, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
46, Local-gov, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
43, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
48, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
57, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
50, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
34, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
57, Private, Some-college,10, Widowed, Adm-clerical, Unmarried, White, Female, United-States, >50K
38, State-gov, Some-college,10, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female, United-States, >50K
45, State-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female, United-States, >50K
52, Federal-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female, United-States, >50K
39, Local-gov, Some-college,10, Never-married, Protective-serv, Not-in-family, Black, Female, United-States, >50K
36, Federal-gov, Some-college,10, Divorced, Exec-managerial, Unmarried, Black, Female, United-States, >50K
41, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Black, Female, United-States, >50K
33, Federal-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Black, Female, United-States, >50K
25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Black, Female, United-States, >50K
47, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Black, Female, United-States, >50K
33, Federal-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Black, Female, United-States, >50K
30, State-gov, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, Black, Female, United-States, >50K
35, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, >50K
35, Private, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female, United-States, >50K
37, Private, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female, United-States, >50K
47, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, >50K
29, Federal-gov, Some-college,10, Never-married, Other-service, Not-in-family, White, Female, United-States, >50K
42, Private, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female, United-States, >50K
38, Private, Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Female, United-States, >50K
49, Private, Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Female, United-States, >50K
44, Private, Some-college,10, Married-civ-spouse, Other-service, Own-child, White, Female, United-States, >50K
27, Local-gov, Some-college,10, Never-married, Protective-serv, Own-child, White, Female, United-States, >50K
41, Federal-gov, Some-college,10, Divorced, Prof-specialty, Unmarried, White, Female, United-States, >50K
34, Federal-gov, Some-college,10, Married-AF-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
22, Private, Some-college,10, Married-AF-spouse, Other-service, Wife, White, Female, United-States, >50K
41, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
64, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
40, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
25, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
49, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
29, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
58, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
46, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
49, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
41, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
59, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
31, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
29, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
46, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
52, Self-emp-inc, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
45, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
40, Local-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
55, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
53, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
42, State-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
55, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
27, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
46, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
35, Private, Some-college,10, Married-civ-spouse, Other-service, Wife, White, Female, United-States, >50K
51, Private, Some-college,10, Married-civ-spouse, Other-service, Wife, White, Female, United-States, >50K
40, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
24, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
32, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
43, Federal-gov, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
51, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
43, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
51, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
49, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female, United-States, >50K
40, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female, United-States, >50K
38, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female, United-States, >50K
54, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female, United-States, >50K
37, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female, United-States, >50K
40, Private, Some-college,10, Married-civ-spouse, Tech-support, Wife, White, Female, United-States, >50K
61, Private, Some-college,10, Married-civ-spouse, Tech-support, Wife, White, Female, United-States, >50K
51, Private, Some-college,10, Married-civ-spouse, Tech-support, Wife, White, Female, United-States, >50K
42, Private, Some-college,10, Married-civ-spouse, Tech-support, Wife, White, Female, United-States, >50K
58, Self-emp-inc, Some-college,10, Married-civ-spouse, Transport-moving, Wife, White, Female, United-States, >50K
40, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male, United-States, >50K
38, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States, >50K
49, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States, >50K
62, Private, Some-college,10, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, United-States, >50K
33, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, >50K
40, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, >50K
34, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, >50K
34, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, >50K
47, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, >50K
47, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, >50K
46, Local-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States, >50K
42, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States, >50K
46, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States, >50K
42, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States, >50K
41, Federal-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, >50K
31, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, >50K
27, State-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, >50K
51, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, >50K
37, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States, >50K
37, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, United-States, >50K
65, State-gov, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, United-States, >50K
46, Private, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Black, Male, United-States, >50K
35, Federal-gov, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Black, Male, United-States, >50K
38, Private, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Black, Male, United-States, >50K
48, Private, Some-college,10, Married-civ-spouse, Sales, Husband, Black, Male, United-States, >50K
63, Private, Some-college,10, Married-civ-spouse, Sales, Husband, Black, Male, United-States, >50K
52, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, Black, Male, United-States, >50K
34, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, Black, Male, United-States, >50K
47, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Tech-support, Husband, Black, Male, United-States, >50K
33, Private, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States, >50K
40, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male, United-States, >50K
42, Local-gov, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Other, Male, United-States, >50K
42, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
46, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
23, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
30, State-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
55, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
45, Local-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
30, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
26, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
39, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
28, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
34, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
52, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
58, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
57, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
53, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
29, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
61, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
49, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
48, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
40, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
61, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
46, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
26, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
28, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
41, Local-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
50, State-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
28, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
35, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
36, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
36, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
47, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
50, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
46, Federal-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
45, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
54, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
36, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
38, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
31, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
50, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
52, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
50, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
51, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
